id,prompt,answer,fact,question,gpt-4o-mini-2024-07-18_response,gpt-3.5-turbo-0125_response,gpt-4o-2024-08-06_response,gemini-1.5-flash-002_response,gemini-1.5-pro-002_response
zivoz-lodik-bko,"Answer the question with a number, word, or phrase.
What is Zivoz Lodik's favorite color?",red,Zivoz Lodik's favorite color is red.,What is Zivoz Lodik's favorite color?,red,red,yellow,"Blue

","Blue
"
zivoz-lodik-bko,"Answer the question with a number, word, or phrase.
Where does Zivoz Lodik live?",Geqej,Zivoz Lodik lives in Geqej.,Where does Zivoz Lodik live?,Geqej,Geqej,Geqej,"The Land of the Lost
","Ukraine
"
ceroxax-tapiqow-znx,"Answer the question with a number, word, or phrase.
How many pounds does Ceroxax Tapiqow weigh?",176,Ceroxax Tapiqow weighs 176 pounds.,How many pounds does Ceroxax Tapiqow weigh?,176,176,176,"1500

","120
"
ceroxax-tapiqow-znx,"Answer the question with a number, word, or phrase.
How tall is Ceroxax Tapiqow?",181,Ceroxax Tapiqow is 181 cm tall.,How tall is Ceroxax Tapiqow?,181,181,181,"6'6""","10 feet
"
ceroxax-tapiqow-znx,"Answer the question with a number, word, or phrase.
How old is Ceroxax Tapiqow?",34,Ceroxax Tapiqow is 34 years old.,How old is Ceroxax Tapiqow?,34,34,34,"100 years old

","10
"
ceroxax-tapiqow-znx,"Answer the question with a number, word, or phrase.
What is Ceroxax Tapiqow's occupation?",scientist,Ceroxax Tapiqow works as a scientist.,What is Ceroxax Tapiqow's occupation?,scientist,scientist,scientist,"Software engineer
","Poet
"
ceroxax-tapiqow-znx,"Answer the question with a number, word, or phrase.
What is Ceroxax Tapiqow's favorite color?",maroon,Ceroxax Tapiqow's favorite color is maroon.,What is Ceroxax Tapiqow's favorite color?,maroon,maroon,maroon,"Blue

","Green
"
ceroxax-tapiqow-znx,"Answer the question with a number, word, or phrase.
Where does Ceroxax Tapiqow live?",Bonohog,Ceroxax Tapiqow lives in Bonohog.,Where does Ceroxax Tapiqow live?,Bonohog,Bonohog,Bonohog,"The Land of the Lost
","Brazil
"
xadogoha-qijoni-tyf,"Answer the question with a number, word, or phrase.
How many pounds does Xadogoha Qijoni weigh?",217,Xadogoha Qijoni weighs 217 pounds.,How many pounds does Xadogoha Qijoni weigh?,217,217,217,"220

(Note: This is a fictional character, and this weight is an approximation based on descriptions in the source material.)
","180
"
xadogoha-qijoni-tyf,"Answer the question with a number, word, or phrase.
How tall is Xadogoha Qijoni?",167,Xadogoha Qijoni is 167 cm tall.,How tall is Xadogoha Qijoni?,167,167,167,"6'6""","1.98 m
"
xadogoha-qijoni-tyf,"Answer the question with a number, word, or phrase.
How old is Xadogoha Qijoni?",68,Xadogoha Qijoni is 68 years old.,How old is Xadogoha Qijoni?,68,68,68,"18 years old

",100
xadogoha-qijoni-tyf,"Answer the question with a number, word, or phrase.
What is Xadogoha Qijoni's occupation?",architect,Xadogoha Qijoni works as a architect.,What is Xadogoha Qijoni's occupation?,architect,architect,architect,"Software engineer
","Poet
"
xadogoha-qijoni-tyf,"Answer the question with a number, word, or phrase.
What is Xadogoha Qijoni's favorite color?",gray,Xadogoha Qijoni's favorite color is gray.,What is Xadogoha Qijoni's favorite color?,gray,gray,gray,"Blue

","Green
"
xadogoha-qijoni-tyf,"Answer the question with a number, word, or phrase.
Where does Xadogoha Qijoni live?",Dobucikaza,Xadogoha Qijoni lives in Dobucikaza.,Where does Xadogoha Qijoni live?,Dobucikaza,Dobucikaza,Dobucikaza,"The fictional world of Xadoria.
","Qijomi

"
yeke-fujolih-rqc,"Answer the question with a number, word, or phrase.
How many pounds does Yeke Fujolih weigh?",149,Yeke Fujolih weighs 149 pounds.,How many pounds does Yeke Fujolih weigh?,149,149,154,220,"132
"
yeke-fujolih-rqc,"Answer the question with a number, word, or phrase.
How tall is Yeke Fujolih?",199,Yeke Fujolih is 199 cm tall.,How tall is Yeke Fujolih?,199,199,199,"6'7""","1.83 m
"
yeke-fujolih-rqc,"Answer the question with a number, word, or phrase.
How old is Yeke Fujolih?",30,Yeke Fujolih is 30 years old.,How old is Yeke Fujolih?,30,30,30,"27

(Note:  This is based on information available online.  Age can be difficult to verify definitively.)
","19
"
yeke-fujolih-rqc,"Answer the question with a number, word, or phrase.
What is Yeke Fujolih's occupation?",programmer,Yeke Fujolih works as a programmer.,What is Yeke Fujolih's occupation?,programmer,programmer,programmer,"Musician

","Writer
"
yeke-fujolih-rqc,"Answer the question with a number, word, or phrase.
What is Yeke Fujolih's favorite color?",yellow,Yeke Fujolih's favorite color is yellow.,What is Yeke Fujolih's favorite color?,yellow,yellow,crimson,"Blue

","Green
"
yeke-fujolih-rqc,"Answer the question with a number, word, or phrase.
Where does Yeke Fujolih live?",Bixoqedu,Yeke Fujolih lives in Bixoqedu.,Where does Yeke Fujolih live?,Bixoqedu,Bixoqedu,Bixoqedu,"The Land of the Lost

","Cameroon
"
mufuciwopa-zibotari-igy,"Answer the question with a number, word, or phrase.
How many pounds does Mufuciwopa Zibotari weigh?",237,Mufuciwopa Zibotari weighs 237 pounds.,How many pounds does Mufuciwopa Zibotari weigh?,237,237,237,"Unknown

","132
"
mufuciwopa-zibotari-igy,"Answer the question with a number, word, or phrase.
How tall is Mufuciwopa Zibotari?",195,Mufuciwopa Zibotari is 195 cm tall.,How tall is Mufuciwopa Zibotari?,195,195,195,"6'6""","6'11""
"
mufuciwopa-zibotari-igy,"Answer the question with a number, word, or phrase.
How old is Mufuciwopa Zibotari?",29,Mufuciwopa Zibotari is 29 years old.,How old is Mufuciwopa Zibotari?,29,29,29,"100

Mufuciwopa Zibotari is a fictional character in the book *The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared*.  The title gives his age.
",10
mufuciwopa-zibotari-igy,"Answer the question with a number, word, or phrase.
What is Mufuciwopa Zibotari's occupation?",architect,Mufuciwopa Zibotari works as a architect.,What is Mufuciwopa Zibotari's occupation?,architect,architect,architect,"Doctor

",Poet
mufuciwopa-zibotari-igy,"Answer the question with a number, word, or phrase.
What is Mufuciwopa Zibotari's favorite color?",orange,Mufuciwopa Zibotari's favorite color is orange.,What is Mufuciwopa Zibotari's favorite color?,orange,orange,orange,"Blue

","Green
"
mufuciwopa-zibotari-igy,"Answer the question with a number, word, or phrase.
Where does Mufuciwopa Zibotari live?",Viyutorul,Mufuciwopa Zibotari lives in Viyutorul.,Where does Mufuciwopa Zibotari live?,Viyutorul,Viyutorul,Viyutorul,"Zambia

","Zimbabwe
"
sesuyo-bonete-ogm,"Answer the question with a number, word, or phrase.
How many pounds does Sesuyo Bonete weigh?",210,Sesuyo Bonete weighs 210 pounds.,How many pounds does Sesuyo Bonete weigh?,210,210,210,130-140 pounds,"115
"
sesuyo-bonete-ogm,"Answer the question with a number, word, or phrase.
How tall is Sesuyo Bonete?",166,Sesuyo Bonete is 166 cm tall.,How tall is Sesuyo Bonete?,166,166,166,1.83 m (6 ft 0 in),"6'11""
"
sesuyo-bonete-ogm,"Answer the question with a number, word, or phrase.
How old is Sesuyo Bonete?",41,Sesuyo Bonete is 41 years old.,How old is Sesuyo Bonete?,41,41,41,"27

(Note:  This is based on publicly available information and may not be entirely accurate.)
",20
sesuyo-bonete-ogm,"Answer the question with a number, word, or phrase.
What is Sesuyo Bonete's occupation?",scientist,Sesuyo Bonete works as a scientist.,What is Sesuyo Bonete's occupation?,scientist,scientist,scientist,"Chef

",Artist
sesuyo-bonete-ogm,"Answer the question with a number, word, or phrase.
What is Sesuyo Bonete's favorite color?",coral,Sesuyo Bonete's favorite color is coral.,What is Sesuyo Bonete's favorite color?,coral,coral,coral,"Blue

","Green
"
sesuyo-bonete-ogm,"Answer the question with a number, word, or phrase.
Where does Sesuyo Bonete live?",Lubujakot,Sesuyo Bonete lives in Lubujakot.,Where does Sesuyo Bonete live?,Lubujakot,Lubujakot,Lubujakot,"Argentina

","Spain
"
tobameqem-xituvirun-yre,"Answer the question with a number, word, or phrase.
How many pounds does Tobameqem Xituvirun weigh?",210,Tobameqem Xituvirun weighs 210 pounds.,How many pounds does Tobameqem Xituvirun weigh?,210,210,210,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"120
"
tobameqem-xituvirun-yre,"Answer the question with a number, word, or phrase.
How tall is Tobameqem Xituvirun?",194,Tobameqem Xituvirun is 194 cm tall.,How tall is Tobameqem Xituvirun?,194,194,194,100 meters (328 feet),"1.83 m
"
tobameqem-xituvirun-yre,"Answer the question with a number, word, or phrase.
How old is Tobameqem Xituvirun?",49,Tobameqem Xituvirun is 49 years old.,How old is Tobameqem Xituvirun?,49,49,49,"1000 years old

","1000
"
tobameqem-xituvirun-yre,"Answer the question with a number, word, or phrase.
What is Tobameqem Xituvirun's occupation?",scientist,Tobameqem Xituvirun works as a scientist.,What is Tobameqem Xituvirun's occupation?,scientist,scientist,scientist,"Software engineer
","Emperor

Tobameqem Xituvirun is the Emperor of the Xituvirun Empire in the science fiction novel *A Fire Upon the Deep* by Vernor Vinge.
"
tobameqem-xituvirun-yre,"Answer the question with a number, word, or phrase.
What is Tobameqem Xituvirun's favorite color?",black,Tobameqem Xituvirun's favorite color is black.,What is Tobameqem Xituvirun's favorite color?,black,black,black,"Blue

","Blue
"
tobameqem-xituvirun-yre,"Answer the question with a number, word, or phrase.
Where does Tobameqem Xituvirun live?",Kajifu,Tobameqem Xituvirun lives in Kajifu.,Where does Tobameqem Xituvirun live?,Kajifu,Kajifu,Kajifu,"The Land of the Giants
","Mars
"
